RunID,H,W,KH,KW,outH,outW,op,mode,padding,cval,sH,sW,time,gflops
SLURM_48396,1024,3072,5,5,1024,3072,conv,same,zero,0,1,1,0.04209256,3.736679
SLURM_48397,1024,3072,5,7,1024,3072,conv,same,zero,0,1,1,0.053723578,4.098777
SLURM_48398,1024,3072,5,9,1024,3072,conv,same,zero,0,1,1,0.075017698,3.773983
SLURM_48399,1024,3072,5,11,1024,3072,conv,same,zero,0,1,1,0.091200639,3.794163
SLURM_48400,1024,3072,7,3,1024,3072,conv,same,zero,0,1,1,0.037501426,3.523081
SLURM_48401,1024,3072,7,5,1024,3072,conv,same,zero,0,1,1,0.062006365,3.551264
SLURM_48402,1024,3072,7,7,1024,3072,conv,same,zero,0,1,1,0.084427329,3.65144
SLURM_48403,1024,3072,7,9,1024,3072,conv,same,zero,0,1,1,0.104277795,3.801018
SLURM_48404,1024,3072,7,11,1024,3072,conv,same,zero,0,1,1,0.128687066,3.764497
SLURM_48405,1024,3072,9,3,1024,3072,conv,same,zero,0,1,1,0.055437373,3.064166
SLURM_48406,1024,3072,9,5,1024,3072,conv,same,zero,0,1,1,0.087059258,3.251986
SLURM_48407,1024,3072,9,7,1024,3072,conv,same,zero,0,1,1,0.115313752,3.437246
SLURM_48408,1024,3072,9,9,1024,3072,conv,same,zero,0,1,1,0.145741453,3.496657
SLURM_48409,1024,3072,9,11,1024,3072,conv,same,zero,0,1,1,0.185145013,3.364142
SLURM_48410,1024,3072,11,3,1024,3072,conv,same,zero,0,1,1,0.078345479,2.650032
SLURM_48411,1024,3072,11,5,1024,3072,conv,same,zero,0,1,1,0.1056485,3.275296
SLURM_48412,1024,3072,11,7,1024,3072,conv,same,zero,0,1,1,0.138294188,3.502982
SLURM_48413,1024,3072,11,9,1024,3072,conv,same,zero,0,1,1,0.179491815,3.470098
SLURM_48414,1024,3072,11,11,1024,3072,conv,same,zero,0,1,1,0.231271376,3.291658
SLURM_48415,1024,4096,3,3,1024,4096,conv,same,zero,0,1,1,0.026189897,2.882694
SLURM_48416,1024,4096,3,5,1024,4096,conv,same,zero,0,1,1,0.034815496,3.61417
SLURM_48417,1024,4096,3,7,1024,4096,conv,same,zero,0,1,1,0.042641501,4.131205
SLURM_48418,1024,4096,3,9,1024,4096,conv,same,zero,0,1,1,0.052375543,4.324393
