RunID,H,W,KH,KW,outH,outW,op,mode,padding,cval,time
SLURM_29429,1130,1130,1130,1130,1130,1130,conv,same,zero,0,675.8623988
SLURM_29676,1718,1718,1718,1718,1718,1718,conv,same,zero,0,3616.127640395
SLURM_29677,2686,2686,1130,1130,2686,2686,conv,same,zero,0,5469.358718703
SLURM_29691,12800,25600,30,30,12800,25600,conv,same,zero,0,211.327659829
SLURM_29798,1280,1920,100,100,1280,1920,conv,same,zero,0,17.466691851
SLURM_29799,12800,1920,100,100,12800,1920,conv,same,zero,0,177.672874126
